+--------+-------------------------+--------------------------------------------------+
|LINEA   |TOKEN TYPE               |LEXEMA                                            |
+--------+-------------------------+--------------------------------------------------+
|1       |ClassKeyword    |class                                             |
|1       |Identifier      |alexTest                                          |
|1       |ExtendsKeyword  |extends                                           |
|1       |Identifier      |testBase                                          |
|1       |OpenKeySymbol   |{                                                 |
|5       |BooleanKeyword  |boolean                                           |
|5       |Identifier      |_property1                                        |
|5       |SemicolonSymbol |;                                                 |
|6       |CharKeyword     |char                                              |
|6       |Identifier      |c                                                 |
|6       |AssignOperator  |=                                                 |
|6       |CharLiteral     |'a'                                               |
|6       |SemicolonSymbol |;                                                 |
|9       |IntKeyword      |int                                               |
|9       |Identifier      |property2                                         |
|9       |SemicolonSymbol |;                                                 |
|10      |StringKeyword   |String                                            |
|10      |Identifier      |property3                                         |
|10      |SemicolonSymbol |;                                                 |
|11      |CharKeyword     |char                                              |
|11      |Identifier      |property4                                         |
|11      |SemicolonSymbol |;                                                 |
|14      |StaticKeyword   |static                                            |
|14      |VoidKeyword     |void                                              |
|14      |Identifier      |method1                                           |
|14      |OpenParenthesisSymbol|(                                                 |
|14      |ClosedParenthesisSymbol|)                                                 |
|14      |OpenKeySymbol   |{                                                 |
|15      |ReturnKeyword   |return                                            |
|15      |Identifier      |property1                                         |
|15      |SemicolonSymbol |;                                                 |
|16      |Identifier      |property4                                         |
|16      |AssignOperator  |=                                                 |
|16      |CharLiteral     |'c'                                               |
|16      |SemicolonSymbol |;                                                 |
|17      |IntLiteral      |3                                                 |
|17      |PlusOperator    |+                                                 |
|17      |IntLiteral      |4                                                 |
|17      |SemicolonSymbol |;                                                 |
|18      |IntLiteral      |4                                                 |
|18      |RestOperator    |-                                                 |
|18      |IntLiteral      |5                                                 |
|18      |SemicolonSymbol |;                                                 |
|19      |IntLiteral      |5                                                 |
|19      |ModOperator     |%                                                 |
|19      |IntLiteral      |5                                                 |
|19      |SemicolonSymbol |;                                                 |
|20      |IntLiteral      |5                                                 |
|20      |DivisionOperator|/                                                 |
|20      |IntLiteral      |7                                                 |
|20      |SemicolonSymbol |;                                                 |
|21      |IntLiteral      |2                                                 |
|21      |LessOperator    |<                                                 |
|21      |IntLiteral      |0                                                 |
